Index,answers
t_1,"['Okay, here are the transcriptions:\n**Clip 1:**\n讨厌的人呢。 我应该比较讨厌那种就特别以自我人为中心了,要么就是,然后就什么事情他都觉得自己他很对,然后特别喜欢和你争论的那种人,我特别讨厌,然后,要么不然就是不太懂得,知道就是人与人之间交往的分寸那样的人,我也挺讨厌。\n\n**Clip 2:**\n理想上来讲应该是比较希望能从事自己喜欢的工作,就是工作的时候能够获得乐趣。 嗯 其实这个问题我自己也想过,比如说,因为我的专业是软工嘛,所以按理来说应该是去编程的,就打代码。 我是不是真的喜欢这个职业呢,我也不是很确定,但至少还是薪资应该\n\n**Clip 3:**\n放松的时候应该最喜欢, 看,看电影吧,因为, 嗯看电影是一个娱乐性比较强的活动,然后也不是特别需要动脑子,所以 哎,反正我最近看电影 a lot,就这样']","['讨厌的人呢，应该比较讨厌那种，就特别以自我为中心的，要么就是，然后，就什么事情他都觉得自己他很对，然后，特别喜欢和你争论那种人，我特别讨厌。然后，嗯，要不然就是，不太懂得，知道，就人与人之间交往的分寸那样的人我，也挺讨厌的', '嗯，放松的时候，应该最喜欢看，嗯，看电影吧。因为，看电影是一个娱乐性比较强的活动，然后，也不是特别需要动脑子，所以，哎，反正我最近看电影', '理论上来讲，应该是比较希望能够从事自己喜欢的工作，就是工作的时候能够获得乐趣。嗯，就这个问题我自己也想过。比如说，因为我专业是软工嘛，所以按理来说应该是去编程的，就打代码。嗯，我是不是真的喜欢这个职业呢？我也不是很确定。但是，至少它的薪资应该还']"
t_10,"['好的，这是转录文本：\nClip 1: 我上一次和别人争吵应该是上上周的周末。 那和我第一次争吵,主要原因是,他把我的卡给弄丢了,然后我就很生气,和他吵了。\nClip 2: 在过去让我印象最深刻的经历应该是高考前的一段时间,还有在高考的过程中吧。 在高考前的话压力可能比较大,在高考的过程中,尤其在考第一门课语文的时候比较紧张。\nClip 3: 我放松的时候最喜欢打游戏吧,因为打游戏的时候不用想太多的事情,就全身心地投入到游戏中去赢一把游戏。']","['我上一次和别人争吵应该是上上周的周末，和我弟的一次争吵，主要原因是他把我的一张电话卡给弄丢了，然后我就很生气，和他吵了一架', '我放松的时候最喜欢打游戏吧，因为打游戏的时候不用想太多的事情，就全身心的投入到游戏中去赢一把游戏', '额，在过去让我印象最深刻的经历，应该是，高考前的一段时间，还有在高考的过程中吧。在高考前的话，压力可能比较大。在高考的过程中，尤其在考第一门课程语文的时候，我比较紧张']"
t_101,['好的，这是音频文件的转录：\n\n**Clip 1:**\n嗯，上一次和别人争吵，差不多就是两分钟前吧，因为他总是打断我说话，总是不能够倾听我说话，所以我就觉得 跟他 没话好说了， 不想跟他讲话了。 有的时候会别人争吵，不是说把喉咙 嗓子 扯得很高，而是不想听他说话。\n\n**Clip 2:**\n我 喜欢小孩子。 嗯，因为他们有时候做事很可爱，而且他们做得都很单纯， 嗯，没有掺杂着各种 心思杂念的， 所以我喜欢小孩子。 嗯，而且小孩子有时候会让我很开心哦。\n\n**Clip 3:**\n我放松的时候最喜欢晒太阳。'],"['上一次和别人正常差不多就是两分钟前吧，因为他总是打断我说话，总是不能够倾听我说话，所以我就觉得跟他没话好说了，不想和他说话了。有时候跟别人争吵不是说把喉咙嗓子扯得很高，而是不想听他说话。', '我放松的时候最喜欢晒太阳。', '我，喜欢小孩子。因为他们有时候总是很可爱，而且他们做的很单纯，没有掺杂各种心思杂念的，所以我喜欢小孩子。哼，而且有时候，小孩子会哄我开心喔。']"
t_102,['好的，以下是音频文件的逐字稿：\n*   **Clip 1**\n    但我想啊， 人在 接触网络的过程中， 总会因为这样那样的原因， 也许只是情绪的冲动。\n*   **Clip 2**\n    喜欢是因为 它没有 最年轻，最活力的样子。\n*   **Clip 3**\n    它是一个比较开朗的心。 那不是说哪些地方吸引， 只能说让人 很安心。'],"['记不清了。人在接触网络的过程中总会因为这样那样的原因，也许只是情绪的冲动。', '那是一个比较开朗热心的人。倒不是说哪些地方吸引，只能说让人很安心。', '喜欢。因为他们有最年轻最活力的样子。']"
t_103,"['Okay, here are the transcriptions of the audio clips you provided:\n\n*   **Clip 1:** 记不清楚了，应该很久没有和别人吵过了。 要说稍微有点像争吵的话，应该是和游戏里面，就打游戏的时候和，和朋友有一些争执吧，但是也只是很普通的那种，算不算争吵。\n\n*   **Clip 2:** 还算喜欢吧，有的小孩子确实挺可爱的。\n\n*   **Clip 3:** 晚上可以和朋友一起打游戏。']","['这不清楚，应该很久没有和别人争吵过了。应该说稍微有点像争吵的应该就是打游戏的时候和朋友有一些争执吧，但就是很普通的那种，算不上争执吧可能。', '我上课也和朋友一起打游戏。', '还算喜欢吧。有的小孩子确实挺可爱的。']"
t_104,"['Okay, here are the transcriptions for each clip:\n\n**Clip 1:**\n嗯，回家的時候爺爺一直要跟我灌輸他覺得一個人應該怎樣去思考,雖然他說的東西我是能夠理解的,但是我覺得, 太多人這樣很輕鬆愉快的去談論一些理所當然的時間給我造成很大的精神負擔,我不想去符合他們講一些這種假太空的東西。 沒有什麼細節對我沒有太大幫助。\n\n**Clip 2:**\n嗯,不喜歡,不大短是, 嗯,現在社會內卷太嚴重了,養小孩需要的 這個 資本, 遠遠超過了自己願意去努力的, 那個程度。 在上海這個城市, 只適合那些, 願意去吃人的人去選小孩吧。 我覺得我這種 不願意吃人的還是不要喜歡小孩的好, 而且我覺得小孩生下來就很醜了。\n\n**Clip 3:**\n第一次感到開心是和諮詢師聊到自己的人生觀念以及自己的一些判斷能力的時候被認可,若其思維沒有出問題,以及價值觀念分有很多種。 和其他人不一樣也是可以的,這樣一個, 情況下我會覺得挺開心的。']","['上一次争吵是回家的时候，爷爷一直要跟给我灌输他觉得一个人要怎样去思考。虽然他说东西误事，能够理解，但是我觉得太由人这样很轻松愉快地谈论一些理所当然的事给我造成很大的精神负担，我不想去附和他们去讲一些假大空的事情，没有什么细节，对我没有什么太大帮助。', '上一次感到开心是和咨询师聊到自己的人生观念以及自己的一些判断能力的时候，被认可逻辑思维没有出问题以及价值观念分有很多种，和其他人不一样也是可以的。这样一个情况下我会觉得挺开心的。', '不喜欢，不打算生。现在社会内卷太严重了，养小孩需要的这个资本远超过自己愿意去努力的程度。上海这个城市，只适合那些愿意去吃人的人去生小孩吧，我觉得我这种不愿意吃人的人还是不要喜欢小孩的好。而且我觉得小孩生下来就很丑。']"
t_105,['好的，这是转录的文本：\n\n**剪辑 1**\n\n呃，有点不记得，我上一次和别人争吵，可能是，应该是和那，应该是 三周以前了吧。 就是，原因可能是，就是我的朋友她是处于备考，考研的时候，然后可能她的心理压力也比较大，然后可能就是那个，就在这过程中就，呃，当时我也处于一个比较敏感的时期，所以两个人就发生了一点比较小的摩擦，不过很快就，就是解决了，因为我本身不是一个就是很容易和别人发生争吵的人，而且发现了矛盾处就会很快的呃，就是冷静下来然后分析原因，這樣子。 然后对方也是一个比较冷静的人，所以很快这个问题就解决了。\n\n**剪辑 2**\n\n呃，总的来说还是挺喜欢小孩子的，但是不太喜欢就是，嗯，就是无理取闹，就是那种比较熊的孩子。 呃，喜欢小孩的主要原因可能还是因为就是觉得他们身上有比较强的可塑性吧，就， 比较有希望和未来的样子。\n\n**剪辑 3**\n\n我上一次感到开心应该是那个周末的时候去大学路 闲逛，然后 吃了晚饭， 然后一个人走，走回学校的路上，感觉还挺开心的。 啊，就可能是运动的快乐。 然后就吃完，吃完好吃的之后运动的快乐。'],"['有点不太记得，我上一次和别人争吵应该是，可能是，应该是三周以前了吧。原因是我的朋友处于备考考研的阶段，他的心理压力也比较大，在这个过程中，就因为我也处于一个比较敏感的时期，所以两个人就发生了一点比较小的摩擦。不过很快就解决了，因为我本身就不是一个很容易和别人发生争吵的人，而且发现了矛盾之后就很快冷静下来分析原因。然后对方也是一个比较冷静的人，所以很快这个问题就解决了。', '我上一次感到开心应该是周末的时候去大学路闲逛，然后吃了晚饭，然后一个人走回学校路上感觉还挺开心的。就可能是运动的快乐，就吃完好吃的之后运动的快乐。', '总的来说还是挺喜欢小孩子的。但是不太喜欢无理取闹，就是比较熊的小孩子。喜欢小孩子的主要原因可能还是因为觉得他们身上有比较强的可塑性，就比较有希望和未来的样子。']"
t_106,['Here are the transcriptions of the audio clips:\n\n*   **Clip 1:** 已经记不得了，很久没有和人争吵。\n*   **Clip 2:** 喜欢，因为很可爱。\n*   **Clip 3:** 在统计心理中心做主管很开心。'],"['已经记不得了，很久没有和人争吵了。', '在同济心理中心做助管很开心。', '喜欢，因为很可爱。']"
t_107,"['Okay, here are the transcriptions of the three audio clips:\n\n*   **Clip 1:** 忘 记 了， 没有 跟 别 人 争 吵 过。\n*   **Clip 2:** 不 喜欢， 因为 小孩子 很 麻烦。\n*   **Clip 3:** 今天 天气 很好。']","['忘记了，没有跟别人争吵过。', '今天天气很好。', '不喜欢，因为小孩子很麻烦。']"
t_109,"['Okay, here are the transcriptions of the three audio clips:\n\n**Clip 1:**\n\n跟男朋友吵架,因為他周四就跟我說要過來找我,然後推到了週五,週五又推了一次。 我說他不舒服就回去休息,但是他一定要來。 在我準備好了之後,他又跟我說他來不了。\n\n**Clip 2:**\n\n惱他了。 很廢\n\n**Clip 3:**\n\n在操場上體育課的時候聽到了喜歡的樂隊的歌。']","['上周五和男朋友吵架。因为他周四就跟我说要过来找我，然后推到了周五。周五又推了一次，我说，他不舒服就回去休息，但是他一定要来。在我准备好了之后他又跟我说他来不了了。', '在操场上体育课的时候听到了喜欢的乐队的歌。', '不喜欢和他们接触，太闹腾了，很费精力。']"
